NACA 4415
       49.       49.

  0.000000  0.000750
  0.001070  0.008250
  0.004280  0.016540
  0.009610  0.024890
  0.017040  0.033030
  0.026530  0.041180
  0.038060  0.049370
  0.051560  0.057530
  0.066990  0.065410
  0.084270  0.072830
  0.103320  0.079700
  0.124080  0.086070
  0.146450  0.091950
  0.170330  0.097260
  0.195620  0.101900
  0.222210  0.105840
  0.250000  0.109030
  0.278860  0.111410
  0.308660  0.112940
  0.339280  0.113610
  0.370590  0.113450
  0.402450  0.112480
  0.434740  0.110760
  0.467300  0.108370
  0.500000  0.105380
  0.532700  0.101850
  0.565260  0.097850
  0.597550  0.093410
  0.629410  0.088580
  0.660720  0.083410
  0.691340  0.077950
  0.721140  0.072270
  0.750000  0.066420
  0.777790  0.060480
  0.804380  0.054530
  0.829670  0.048630
  0.853550  0.042830
  0.875920  0.037170
  0.896680  0.031710
  0.915730  0.026520
  0.933010  0.021660
  0.948440  0.017160
  0.961940  0.013030
  0.973470  0.009320
  0.982960  0.006100
  0.990390  0.003490
  0.995720  0.001560
  0.998930  0.000390
  1.000000  0.000000

  0.000000  0.000750
  0.001070 -0.005660
  0.004280 -0.011020
  0.009610 -0.015900
  0.017040 -0.020610
  0.026530 -0.025020
  0.038060 -0.029150
  0.051560 -0.032810
  0.066990 -0.035820
  0.084270 -0.038170
  0.103320 -0.039910
  0.124080 -0.041060
  0.146450 -0.041660
  0.170330 -0.041770
  0.195620 -0.041470
  0.222210 -0.040780
  0.250000 -0.039740
  0.278860 -0.038450
  0.308660 -0.037000
  0.339280 -0.035470
  0.370590 -0.033900
  0.402450 -0.032290
  0.434740 -0.030630
  0.467300 -0.028910
  0.500000 -0.027130
  0.532700 -0.025290
  0.565260 -0.023400
  0.597550 -0.021490
  0.629410 -0.019580
  0.660720 -0.017720
  0.691340 -0.015960
  0.721140 -0.014300
  0.750000 -0.012770
  0.777790 -0.011360
  0.804380 -0.010060
  0.829670 -0.008860
  0.853550 -0.007750
  0.875920 -0.006740
  0.896680 -0.005830
  0.915730 -0.005020
  0.933010 -0.004310
  0.948440 -0.003640
  0.961940 -0.002970
  0.973470 -0.002270
  0.982960 -0.001560
  0.990390 -0.000920
  0.995720 -0.000420
  0.998930 -0.000110
  1.000000  0.000000
